,open,high,low,close,volume,value
2021-10-20 08:00:00,192000.0,192500.0,190600.0,190850.0,9057.73124179,1733614972.6813674
2021-10-20 09:00:00,190850.0,192800.0,190050.0,192600.0,13524.67961713,2593030525.794977
2021-10-20 10:00:00,192500.0,193250.0,191400.0,192050.0,10567.65590805,2033764744.753818
2021-10-20 11:00:00,192350.0,193550.0,191550.0,192850.0,7282.59577761,1402678690.461837
2021-10-20 12:00:00,192800.0,192850.0,191350.0,191350.0,5142.93042041,987953543.012171
2021-10-20 13:00:00,191350.0,191700.0,190900.0,191500.0,5525.54280398,1056932521.9020005
2021-10-20 14:00:00,191150.0,192350.0,190400.0,190850.0,7298.63498962,1393610924.722436
2021-10-20 15:00:00,190850.0,191800.0,190550.0,191450.0,2614.11790624,499746643.133526
2021-10-20 16:00:00,191450.0,192300.0,191000.0,191900.0,3629.01352646,695362784.377345
2021-10-20 17:00:00,192200.0,192550.0,191250.0,192100.0,4710.16216103,904795439.3432095
2021-10-20 18:00:00,192100.0,193700.0,191650.0,192850.0,7379.94152741,1423713716.0195234
2021-10-20 19:00:00,192900.0,195900.0,192700.0,194200.0,11906.14323465,2315906778.802442
2021-10-20 20:00:00,194200.0,196000.0,193200.0,195900.0,8839.28004329,1722678713.980843
2021-10-20 21:00:00,195950.0,197050.0,195000.0,196150.0,23331.72783967,4576472093.94529
2021-10-20 22:00:00,196100.0,197950.0,195500.0,197550.0,20336.58703051,4003868062.571267
2021-10-20 23:00:00,197550.0,201500.0,197200.0,200250.0,58570.98376248,11697269179.998465
2021-10-21 00:00:00,200250.0,208150.0,199700.0,205450.0,164825.23413964,33847135527.639565
2021-10-21 01:00:00,205450.0,213550.0,202950.0,209150.0,128171.20626358,26845308174.648445
2021-10-21 02:00:00,209150.0,211850.0,206750.0,209500.0,38442.09028893,8035741210.421368
2021-10-21 03:00:00,209500.0,211300.0,208300.0,210850.0,13374.59840011,2806649843.6283665
2021-10-21 04:00:00,210850.0,211950.0,209050.0,209900.0,14132.5788774,2972975270.6877813
2021-10-21 05:00:00,209900.0,210850.0,206800.0,210050.0,17576.9920519,3671394378.1658063
2021-10-21 06:00:00,210050.0,212000.0,207850.0,208800.0,21827.39228062,4576833444.176681
2021-10-21 07:00:00,208800.0,209500.0,208000.0,208750.0,17865.82777273,3729155356.232185
2021-10-21 08:00:00,208750.0,215500.0,207250.0,214200.0,66914.78633461,14193482867.271343
2021-10-21 09:00:00,214400.0,229700.0,214150.0,225400.0,443923.03072509,98876150904.49803
2021-10-21 10:00:00,225350.0,232350.0,222850.0,225000.0,182297.55924631,41492252723.03184
2021-10-21 11:00:00,225100.0,229500.0,220950.0,225150.0,110053.95189129,24802381749.412163
2021-10-21 12:00:00,225150.0,226300.0,221400.0,224400.0,47274.80674287,10572902733.916267
2021-10-21 13:00:00,224400.0,224700.0,219550.0,222800.0,40846.57408752,9054322020.815828
2021-10-21 14:00:00,222800.0,224500.0,222000.0,222750.0,20568.21214904,4595609547.393367
2021-10-21 15:00:00,222750.0,224200.0,221200.0,223650.0,20152.60904936,4483066711.459014
2021-10-21 16:00:00,223700.0,230550.0,222350.0,228250.0,80630.55474784,18383614134.326538
2021-10-21 17:00:00,228200.0,234950.0,226200.0,232450.0,134124.83136004,31075314969.913788
2021-10-21 18:00:00,232400.0,235950.0,230550.0,232000.0,100119.93518016,23316972121.697468
2021-10-21 19:00:00,232000.0,233250.0,229050.0,231950.0,42411.81729,9799570141.86117
2021-10-21 20:00:00,232000.0,235600.0,226050.0,228250.0,121817.47337025,28109339067.32962
2021-10-21 21:00:00,228000.0,229700.0,223250.0,227700.0,89511.31146841,20308700133.39798
2021-10-21 22:00:00,227550.0,232700.0,227150.0,228250.0,49244.93628772,11320393372.121347
2021-10-21 23:00:00,228250.0,229650.0,223800.0,225000.0,63287.92146883,14321856004.808163
2021-10-22 00:00:00,225000.0,226900.0,219800.0,224050.0,75440.88327561,16839851164.804335
2021-10-22 01:00:00,224050.0,227400.0,222050.0,222750.0,29744.04104757,6689151538.406482
2021-10-22 02:00:00,222650.0,226500.0,222200.0,223200.0,10693.37383552,2402181236.2522783
2021-10-22 03:00:00,223200.0,225700.0,223050.0,224350.0,6765.57720769,1518887592.8157616
2021-10-22 04:00:00,224750.0,231000.0,224350.0,227150.0,15155.58144023,3464885494.9124465
2021-10-22 05:00:00,227150.0,229150.0,224650.0,227100.0,12741.77767661,2889908945.522105
2021-10-22 06:00:00,227050.0,231350.0,226700.0,230900.0,28627.62321411,6579299921.630714
2021-10-22 07:00:00,230900.0,231750.0,227000.0,227300.0,27257.84809113,6272350769.575167
2021-10-22 08:00:00,227400.0,236200.0,226650.0,235400.0,136981.40670151,31899173731.74307
2021-10-22 09:00:00,235150.0,249700.0,230100.0,246100.0,516866.70307916,124650296798.2047
2021-10-22 10:00:00,246100.0,253550.0,244850.0,248000.0,255732.41723304,64057555870.52743
2021-10-22 11:00:00,248000.0,250100.0,244150.0,244700.0,102904.23664953,25429008409.12081
2021-10-22 12:00:00,244700.0,248250.0,244700.0,246600.0,47911.41517792,11812329740.446205
2021-10-22 13:00:00,246600.0,249300.0,245450.0,248000.0,47934.18983287,11863430315.285793
2021-10-22 14:00:00,248000.0,255500.0,247050.0,250050.0,156032.45983082,39204913727.2088
2021-10-22 15:00:00,250150.0,250300.0,244700.0,245000.0,110411.096576,27275419096.18242
2021-10-22 16:00:00,244950.0,248000.0,243600.0,247000.0,67262.0856307,16526564137.069271
2021-10-22 17:00:00,247050.0,251600.0,244950.0,246950.0,64972.44676818,16160147516.924929
2021-10-22 18:00:00,247100.0,251600.0,246800.0,249750.0,45306.99617732,11322341430.712263
2021-10-22 19:00:00,249750.0,250500.0,244400.0,246750.0,64932.25110071,15974361217.10481
2021-10-22 20:00:00,246750.0,249250.0,246050.0,248550.0,20318.0389402,5035108402.59342
2021-10-22 21:00:00,248450.0,256300.0,244950.0,255600.0,116564.05081671,29327641166.004494
2021-10-22 22:00:00,255700.0,263800.0,251350.0,256550.0,385751.98362065,99644322166.328
2021-10-22 23:00:00,256550.0,256550.0,250000.0,256100.0,205840.59438399,52161274245.29985
2021-10-23 00:00:00,256100.0,263500.0,253150.0,253600.0,231276.77195122,59760435566.30175
2021-10-23 01:00:00,253550.0,258700.0,250350.0,255000.0,121606.16789671,30904060693.779793
2021-10-23 02:00:00,255000.0,255100.0,249000.0,249000.0,39700.22705808,9983949868.968672
2021-10-23 03:00:00,249000.0,250900.0,246550.0,246950.0,39055.46921221,9705236177.369305
2021-10-23 04:00:00,246950.0,247000.0,241150.0,242850.0,61656.34839173,15003627612.075861
2021-10-23 05:00:00,242850.0,245500.0,241600.0,241600.0,29839.55240957,7263297164.564026
2021-10-23 06:00:00,241550.0,242100.0,237500.0,239850.0,64611.3767568,15494295997.890902
2021-10-23 07:00:00,239900.0,243800.0,239800.0,242450.0,64093.59543515,15476714785.284855
2021-10-23 08:00:00,242450.0,243400.0,240000.0,240700.0,47711.55439975,11524928494.28234
2021-10-23 09:00:00,240600.0,245500.0,234800.0,243400.0,197591.36431692,47456783939.1159
2021-10-23 10:00:00,243350.0,244000.0,240050.0,242000.0,48674.74471367,11773127962.231468
2021-10-23 11:00:00,242000.0,250400.0,241700.0,248500.0,106958.34426775,26455574831.85541
2021-10-23 12:00:00,248250.0,251400.0,247050.0,248950.0,63824.97531457,15918300753.724241
2021-10-23 13:00:00,248950.0,252600.0,248050.0,249100.0,61177.43561895,15332494366.103151
2021-10-23 14:00:00,249200.0,249950.0,245650.0,246650.0,39301.50170732,9719639191.552256
2021-10-23 15:00:00,246650.0,247200.0,244100.0,245650.0,32739.6289844,8036901717.126468
2021-10-23 16:00:00,245600.0,247650.0,243450.0,246250.0,32615.99219169,8003584503.479548
2021-10-23 17:00:00,246250.0,248700.0,246250.0,247900.0,25845.47388996,6402541432.462408
2021-10-23 18:00:00,247900.0,248250.0,242000.0,244950.0,46911.66733586,11461280117.55079
2021-10-23 19:00:00,244850.0,246500.0,242300.0,242850.0,25704.26065037,6291934534.303467
2021-10-23 20:00:00,242800.0,247550.0,241600.0,246550.0,56734.73103099,13898293950.09744
2021-10-23 21:00:00,246550.0,247500.0,245050.0,246300.0,31381.76043813,7732502562.074984
2021-10-23 22:00:00,246300.0,246650.0,242050.0,243700.0,42211.46432124,10303297992.808578
2021-10-23 23:00:00,243700.0,244400.0,241200.0,241400.0,25493.91766676,6185969134.366946
2021-10-24 00:00:00,241550.0,244700.0,241200.0,243300.0,22064.83913645,5352304184.144675
2021-10-24 01:00:00,243300.0,246250.0,242100.0,243000.0,18069.95670017,4411544665.599571
2021-10-24 02:00:00,243000.0,243650.0,239500.0,240000.0,23929.50693513,5767696048.104785
2021-10-24 03:00:00,240000.0,241650.0,235000.0,239350.0,33511.75233283,7973627249.677563
2021-10-24 04:00:00,239400.0,239750.0,236600.0,238300.0,13578.35169833,3229428105.385683
2021-10-24 05:00:00,238200.0,241000.0,237750.0,240950.0,6280.71902726,1502626450.587317
2021-10-24 06:00:00,240950.0,241850.0,239700.0,240650.0,9598.1156918,2308836872.991026
2021-10-24 07:00:00,240750.0,244000.0,240500.0,241050.0,16387.01282165,3962261156.4892697
2021-10-24 08:00:00,241100.0,242800.0,239500.0,241550.0,26933.93661266,6498841214.579009
2021-10-24 09:00:00,241550.0,245750.0,240500.0,241450.0,53932.39024993,13088619597.003555
2021-10-24 10:00:00,241450.0,243800.0,240000.0,242750.0,34181.48731347,8270282389.241888
2021-10-24 11:00:00,242750.0,242750.0,240150.0,241150.0,16936.78665906,4090446535.730827
2021-10-24 12:00:00,241050.0,241950.0,240000.0,240100.0,15462.4046893,3721810698.771998
2021-10-24 13:00:00,240100.0,240200.0,238150.0,238450.0,30468.92118443,7285983198.364984
2021-10-24 14:00:00,238950.0,240000.0,237300.0,237600.0,28983.19828043,6904365302.863433
2021-10-24 15:00:00,237650.0,239000.0,235950.0,236800.0,22732.69314078,5394538578.396405
2021-10-24 16:00:00,236850.0,239500.0,236250.0,237800.0,19030.33940574,4526518686.342905
2021-10-24 17:00:00,237850.0,238700.0,236800.0,237350.0,11683.27388787,2777236942.938367
2021-10-24 18:00:00,237350.0,240350.0,237150.0,238500.0,16621.36340908,3974836715.3134484
2021-10-24 19:00:00,238500.0,239500.0,237900.0,238300.0,6683.10010874,1594591715.1008325
2021-10-24 20:00:00,238300.0,238500.0,232250.0,232450.0,67368.26827582,15793065144.637505
2021-10-24 21:00:00,232450.0,234600.0,230200.0,234450.0,71446.22527624,16615942207.796982
2021-10-24 22:00:00,234500.0,236000.0,233400.0,233600.0,21000.71169204,4927447897.814123
2021-10-24 23:00:00,233650.0,233950.0,231050.0,231450.0,23292.3171313,5409347446.552958
2021-10-25 00:00:00,231450.0,232750.0,229450.0,230150.0,37748.63677872,8710180394.657986
2021-10-25 01:00:00,230150.0,234950.0,229100.0,234950.0,25166.93399472,5836184211.138156
2021-10-25 02:00:00,234950.0,235250.0,232800.0,232800.0,8346.98759908,1952857668.411805
2021-10-25 03:00:00,233050.0,233250.0,230200.0,232550.0,10743.81929039,2484382817.7528763
2021-10-25 04:00:00,232550.0,235950.0,231900.0,235800.0,6537.59226741,1533574111.520506
2021-10-25 05:00:00,235800.0,238800.0,234500.0,238550.0,10743.66676615,2543674647.705358
2021-10-25 06:00:00,238550.0,245550.0,238550.0,245400.0,49191.29701248,11949186718.37293
2021-10-25 07:00:00,245500.0,251350.0,244900.0,247650.0,112014.73220179,27841840422.955357
2021-10-25 08:00:00,247700.0,251550.0,244500.0,247150.0,57868.18003736,14339295300.102442
2021-10-25 09:00:00,247050.0,248900.0,242750.0,248100.0,63151.76882869,15518269545.229883
2021-10-25 10:00:00,248050.0,250050.0,243800.0,244950.0,39634.81726859,9775719239.461077
