,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,original_price0,original_price9
26,6498305.2509011505,6568798.554868945,6408079.0627568085,6286109.488924146,5934024.394142244,5369760.135552701,5920761.596058403,5891719.323262325,6779382.952955292,6571453.747537584,6188437.788519874,6268151.373521395,5647870.732185547,6134202.105625654,5827367.785258358,5523920.564787429,5107138.37394705,4849361.413845204,5656121.560066664,5397313.295326024,5404355.478503907,5700189.813612789,5608314.189902662,5774222.594996531,7028000.0,6858000.0
27,6429440.135985209,6346178.293171556,6227464.691886795,6219682.192893436,5685599.770699131,5245355.618223749,5768144.004930172,5748285.8262980925,6783268.542840923,6568169.662706231,6258913.006235467,6307044.664872249,5645048.208081506,6131136.537356975,5824455.557479618,5521159.984795031,5104586.080906597,4846937.944872768,5656121.560066664,5397313.295326024,5401654.651178318,5697341.143041268,5608314.189902662,5774222.594996531,6957000.0,7017000.0
28,6429440.135985209,6346178.293171556,6227464.691886795,6219682.192893436,5685599.770699131,5242734.2510982,5765261.37424305,5748285.8262980925,6769196.879070109,6584082.2869425155,6252216.968461122,5888031.408484411,5276675.307140825,5765056.556541298,5431603.465247306,5192624.859054147,4872132.785293319,4705596.08408776,5656121.560066664,5397313.295326024,5058284.39527653,5504258.877785044,5608314.189902662,5774222.594996531,6738000.0,7034000.0
29,6429440.135985209,6346178.293171556,6227464.691886795,6219682.192893436,5685599.770699131,4918463.3737102,5487220.754345513,5748285.8262980925,6769196.879070109,6061549.616510095,6252216.968461122,5888031.408484411,5276675.307140825,5765056.556541298,5431603.465247306,5192624.859054147,4872132.785293319,4705596.08408776,5656121.560066664,5397313.295326024,5055756.517018021,5504258.877785044,5608314.189902662,5774222.594996531,6570000.0,6479000.0
30,6429440.135985209,6346178.293171556,6227464.691886795,6219682.192893436,5685599.770699131,4918463.3737102,5487220.754345513,5745413.119738223,6765813.972084067,6058520.356331929,6249092.422249997,5885088.864052385,5274038.287996827,5762175.468806894,5428889.020736937,5190029.844132082,4869697.936325156,4703244.461856832,5653294.912610359,5394615.987332358,5103539.581660569,5501508.123723183,5605511.43418557,5771336.926533264,6446000.0,6643000.0
31,6426227.022473971,6343006.789776668,6224352.5156289805,6216573.905940466,5682758.39150338,4916005.371024688,5484478.515087969,5916381.4637560705,7002849.343535603,6169786.272856466,6387671.7898516115,5995995.414586427,5395371.107887999,5933766.797250835,5556320.060044033,5362240.880056099,4987536.966847241,4839549.810789135,5825823.32662264,5558163.168848769,5214519.602765842,5595269.810986517,5623005.228228949,5703742.432149212,6786000.0,6765000.0
32,6354865.220273475,6273395.68411859,6156187.605336504,6089724.028098303,5618625.963985609,4859353.831188376,5433658.018022488,5927779.353357261,6931363.08256582,6114742.476742351,6293377.3657959765,5929653.932731262,5280063.565530059,5796540.532130713,5453117.663950835,5302711.158748016,4951917.542143148,4761915.750449726,5711079.119788581,5452913.234534831,5124867.398424853,5472451.459087369,5594382.46554164,5700891.986156134,6714000.0,6708000.0
33,6354865.220273475,6273395.68411859,6156187.605336504,6086680.687754425,5615818.054958129,4859353.831188376,5430942.546749113,5880123.023413209,6927899.1329993205,6111686.633425639,6293377.3657959765,5929653.932731262,5280063.565530059,5796540.532130713,5450392.467716977,5302711.158748016,4951917.542143148,4761915.750449726,5711079.119788581,5452913.234534831,5122306.245302201,5469716.600786976,5594382.46554164,5659008.04636596,6681000.0,6715000.0
34,6354865.220273475,6270260.553841669,6153111.049811599,6165681.317298605,5670932.403155488,4856925.368504124,5593168.650463866,5877184.431197611,7103884.755636432,6335584.609869825,6290232.249671141,5926690.587437544,5277424.853103507,5793643.710275575,5609935.9025075035,5300061.128183924,4949442.820732782,4759535.9824584965,5708225.007284938,5450188.140464598,5363147.743691805,5722442.780361291,5591586.672205538,5656179.956387766,6676000.0,6961000.0
35,6351689.375585683,6373870.642662895,6242838.25469175,6324590.629600115,5801202.6807128815,4921400.964205638,5623838.262111431,5870864.97806749,7123325.027904485,6339225.227372982,6298330.102660275,5965048.285759806,5397470.593749299,5857080.811843208,5663387.002488086,5341241.459251828,4965826.986662094,4775282.433493673,5734454.645457413,5498787.545715397,5417779.521281779,5815984.2883855505,5721735.67233446,5835625.2291930625,6884000.0,6965000.0
36,6701382.907448985,6642146.765503568,6512926.204735034,6561592.518232654,6048382.1817192165,5129706.7349336045,5891793.816505948,5867931.0125612095,7461995.034258462,6755165.777108725,6674430.385933418,6284695.771778658,5656677.638837981,6183448.005434586,5911205.738761696,5632554.171621073,5235809.546975525,4990255.721539123,6009865.846268404,5809980.511595514,5753264.803383591,6181944.925041865,6013365.839290007,6086523.823296395,7263000.0,7422000.0
37,6908061.934196689,6935400.320470787,6820173.906294341,6855801.759293736,6300572.0780162215,5356434.104433432,6068547.631001127,6047471.587184035,7800665.040612439,7090102.5873992145,7096418.502811656,6725383.1058366485,6104746.454242017,6677589.638698257,6435998.35675287,6092401.201879334,5789309.41337008,5573559.038146522,6704131.58164611,6425311.690980629,6441932.98567974,6604522.790239179,6554046.562047812,6723919.928057291,7487000.0,7790000.0
